id,first_name,second_name,web_name,team_name,pos,now_cost,selected_by_percent,status,chance_of_playing_next_round,total_points,minutes,goals_scored,assists,clean_sheets,creativity,influence,threat,ict_index
1,David,Raya Martín,Raya,Arsenal,GKP,55,17.8,a,,142,3420,0,0,13,10.7,755.4,0.0,76.7
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,Arsenal,GKP,45,1.0,a,,106,2790,0,0,8,10.4,744.4,4.0,75.8
3,Karl,Hein,Hein,Arsenal,GKP,40,0.6,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
4,Tommy,Setford,Setford,Arsenal,GKP,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,Arsenal,DEF,60,21.6,a,,117,2363,3,2,10,208.8,584.6,287.0,108.2
6,William,Saliba,Saliba,Arsenal,DEF,60,14.0,a,,130,3039,2,0,12,150.1,672.6,116.0,94.2
7,Riccardo,Calafiori,Calafiori,Arsenal,DEF,55,0.6,a,,39,978,2,1,1,118.2,252.6,176.0,54.6
8,Jurriën,Timber,J.Timber,Arsenal,DEF,55,2.2,a,,114,2415,1,3,11,296.8,393.0,254.0,94.2
9,Jakub,Kiwior,Kiwior,Arsenal,DEF,55,0.1,a,,43,1117,1,0,3,91.3,267.2,32.0,39.2
10,Myles,Lewis-Skelly,Lewis-Skelly,Arsenal,DEF,55,5.4,a,,37,1362,1,0,5,170.7,176.0,57.0,40.0
11,Benjamin,White,White,Arsenal,DEF,55,0.9,a,,50,1195,0,2,5,162.6,247.6,100.0,51.0
12,Oleksandr,Zinchenko,Zinchenko,Arsenal,DEF,50,0.3,a,,40,518,0,1,4,92.8,83.4,66.0,24.1
13,Brayden,Clarke,Clarke,Arsenal,DEF,40,0.6,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
14,Maldini,Kacurri,Kacurri,Arsenal,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
15,Josh,Nichols,Nichols,Arsenal,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
16,Bukayo,Saka,Saka,Arsenal,MID,100,15.1,a,,127,1724,6,11,7,842.8,606.0,830.0,227.9
17,Martin,Ødegaard,Ødegaard,Arsenal,MID,80,3.3,a,,116,2321,3,9,11,968.7,524.6,493.0,198.8
18,Noni,Madueke,Madueke,Arsenal,MID,70,1.6,a,,120,2028,7,5,6,475.1,479.2,998.0,195.3
19,Gabriel,Martinelli Silva,Martinelli,Arsenal,MID,70,1.4,a,,125,2284,8,4,10,587.8,559.8,912.0,206.1
20,Leandro,Trossard,Trossard,Arsenal,MID,70,1.5,a,,152,2546,8,8,11,617.6,609.0,798.0,202.1
21,Declan,Rice,Rice,Arsenal,MID,65,7.5,a,,127,2823,4,7,11,959.6,733.0,399.0,208.8
22,Mikel,Merino Zazón,Merino,Arsenal,MID,60,0.9,a,,92,1575,7,2,4,265.8,456.8,511.0,123.3
23,Fábio,Ferreira Vieira,Fábio Vieira,Arsenal,MID,55,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
24,Christian,Nørgaard,Nørgaard,Arsenal,MID,55,0.8,a,,107,2820,5,5,6,333.0,735.4,409.0,147.9
25,Ethan,Nwaneri,Nwaneri,Arsenal,MID,55,0.4,a,,66,882,4,2,4,282.8,293.2,255.0,83.0
26,Martín,Zubimendi Ibáñez,Zubimendi,Arsenal,MID,55,1.6,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
27,Reiss,Nelson,Nelson,Arsenal,MID,50,0.2,a,,27,483,1,1,1,223.9,131.6,195.0,55.1
28,Ismeal,Kabia,Kabia,Arsenal,MID,45,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
29,Albert,Sambi Lokonga,Sambi,Arsenal,MID,45,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
30,Kai,Havertz,Havertz,Arsenal,FWD,75,1.3,a,,97,1872,9,3,7,269.0,467.6,711.0,144.8
31,Gabriel,Fernando de Jesus,G.Jesus,Arsenal,FWD,65,0.0,i,0.0,42,600,3,2,2,119.5,154.4,255.0,52.6
662,Cristhian,Mosquera,Mosquera,Arsenal,DEF,55,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
666,Viktor,Gyökeres,Gyökeres,Arsenal,FWD,90,22.9,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
32,Emiliano,Martínez Romero,Martinez,Aston Villa,GKP,50,0.5,s,0.0,111,3195,0,0,8,20.0,839.6,0.0,86.0
33,Marco,Bizot,M.Bizot,Aston Villa,GKP,45,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
34,Joe,Gauci,Gauci,Aston Villa,GKP,40,1.0,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
35,Filip,Marschall,Marschall,Aston Villa,GKP,40,0.1,u,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
36,Matty,Cash,Cash,Aston Villa,DEF,45,1.7,a,,76,2069,1,1,7,181.0,359.2,171.0,71.3
37,Lucas,Digne,Digne,Aston Villa,DEF,45,1.8,a,,89,2348,0,5,6,583.9,512.6,112.0,120.7
38,Ezri,Konsa Ngoyo,Konsa,Aston Villa,DEF,45,23.5,a,,103,2936,2,0,8,123.9,532.8,166.0,82.4
39,Ian,Maatsen,Maatsen,Aston Villa,DEF,45,0.9,a,,57,1125,1,2,3,293.4,252.0,197.0,74.3
40,Tyrone,Mings,Mings,Aston Villa,DEF,45,0.5,a,,47,1119,0,1,4,49.2,220.4,74.0,34.6
41,Pau,Torres,Pau,Aston Villa,DEF,45,0.5,a,,55,2019,0,0,5,84.5,350.6,102.0,54.0
42,Andrés,García,A.García,Aston Villa,DEF,40,1.0,a,,8,316,0,0,0,68.4,45.6,7.0,12.0
43,Álex,Moreno Lopera,Alex Moreno,Aston Villa,DEF,40,11.3,a,,34,952,0,1,3,134.5,200.8,29.0,36.4
44,Lamare,Bogarde,Bogarde,Aston Villa,DEF,40,0.4,a,,6,473,0,0,0,33.3,84.8,15.0,13.3
45,Lino,da Cruz Sousa,Sousa,Aston Villa,DEF,40,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
46,Yasin,Özcan,Yasin,Aston Villa,DEF,40,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
47,Morgan,Rogers,Rogers,Aston Villa,MID,70,23.2,a,,161,3115,8,11,10,722.7,731.6,689.0,214.3
48,Youri,Tielemans,Tielemans,Aston Villa,MID,60,1.8,a,,121,3025,3,7,7,963.1,799.6,333.0,209.6
49,Leon,Bailey,Bailey,Aston Villa,MID,55,0.5,a,,47,1132,1,2,2,235.8,146.4,325.0,70.3
50,Emiliano,Buendía Stati,Buendía,Aston Villa,MID,55,0.1,a,,11,89,0,0,0,23.2,16.4,16.0,5.2
51,Samuel,Iling-Junior,Iling Jr,Aston Villa,MID,55,0.0,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
52,Jacob,Ramsey,J.Ramsey,Aston Villa,MID,55,0.6,a,,66,1616,1,4,5,307.9,235.4,245.0,78.7
53,Donyell,Malen,Malen,Aston Villa,MID,55,3.1,a,,34,296,3,0,0,42.7,138.2,208.0,38.5
54,John,McGinn,McGinn,Aston Villa,MID,55,0.6,a,,78,2217,1,4,8,500.6,277.2,263.0,103.7
55,Ross,Barkley,Barkley,Aston Villa,MID,50,0.3,a,,44,567,3,1,1,128.1,215.4,206.0,54.8
56,Enzo,Barrenechea,Barrenechea,Aston Villa,MID,50,0.0,u,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
57,Lewis,Dobbin,Dobbin,Aston Villa,MID,50,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
58,Boubacar,Kamara,Kamara,Aston Villa,MID,50,0.2,a,,57,1720,1,0,6,191.0,326.6,83.0,60.2
59,Amadou,Onana,Onana,Aston Villa,MID,50,1.7,a,,65,1613,3,0,6,194.8,358.0,215.0,77.0
60,Ben,Broggio,Broggio,Aston Villa,MID,45,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
61,Leander,Dendoncker,Dendoncker,Aston Villa,MID,45,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,Aston Villa,MID,45,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
63,Kadan,Young,Young,Aston Villa,MID,45,0.6,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
64,Ollie,Watkins,Watkins,Aston Villa,FWD,90,17.2,a,,186,2593,16,8,10,345.2,766.0,1148.0,223.8
65,Zépiqueno,Redmond,Redmond,Aston Villa,FWD,45,0.9,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
677,Evann,Guessand,Guessand,Aston Villa,MID,65,0.0,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
183,Max,Weiß,Weiss,Burnley,GKP,45,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
184,Etienne,Green,Green,Burnley,GKP,40,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
185,Václav,Hladký,Hladký,Burnley,GKP,40,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
186,Connor,Roberts,Roberts,Burnley,DEF,45,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
187,Kyle,Walker,Walker,Burnley,DEF,45,2.2,a,,13,966,0,0,0,147.7,157.4,29.0,33.5
188,Hannes,Delcroix,Delcroix,Burnley,DEF,40,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
189,Owen,Dodgson,Dodgson,Burnley,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
190,Hjalmar,Ekdal,Ekdal,Burnley,DEF,40,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
191,Maxime,Estève,Estève,Burnley,DEF,40,13.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
192,Quilindschy,Hartman,Hartman,Burnley,DEF,40,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
193,Bashir,Humphreys,Humphreys,Burnley,DEF,40,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
194,Jordan,Beyer,Jordan,Burnley,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
195,Lucas,Pires Silva,Lucas Pires,Burnley,DEF,40,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
196,Shurandy,Sambo,Sambo,Burnley,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
197,Oliver,Sonne,Sonne,Burnley,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
198,Axel,Tuanzebe,Tuanzebe,Burnley,DEF,40,3.4,a,,27,1710,0,1,1,93.4,284.4,25.0,40.1
199,Joe,Worrall,Worrall,Burnley,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
200,Jaidon,Anthony,Anthony,Burnley,MID,55,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
201,Manuel,Benson Hedilazio,Benson,Burnley,MID,55,0.0,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
202,Jacob,Bruun Larsen,Bruun Larsen,Burnley,MID,55,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
203,Enock,Agyei,Boateng,Burnley,MID,50,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
204,Darko,Churlinov,Churlinov,Burnley,MID,50,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
205,Josh,Cullen,Cullen,Burnley,MID,50,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
206,Marcus,Edwards,Edwards,Burnley,MID,50,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
207,Hannibal,Mejbri,Hannibal,Burnley,MID,50,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
208,Luca,Koleosho,Koleosho,Burnley,MID,50,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
209,Josh,Laurent,Laurent,Burnley,MID,50,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
210,Loum,Tchaouna,Tchaouna,Burnley,MID,50,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
211,Aaron,Ramsey,A.Ramsey,Burnley,MID,45,12.5,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
212,Oluwaseun,Adewumi,Adewumi,Burnley,MID,45,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
213,Jaydon,Banel,Banel,Burnley,MID,45,0.0,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
214,Mike,Trésor Ndayishimiye,Trésor,Burnley,MID,45,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
215,Zian,Flemming,Flemming,Burnley,FWD,55,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
216,Zeki,Amdouni,Amdouni,Burnley,FWD,50,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
217,Lyle,Foster,Foster,Burnley,FWD,50,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
218,Ashley,Barnes,Barnes,Burnley,FWD,45,4.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
219,Michael,Obafemi,Obafemi,Burnley,FWD,45,0.7,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
470,Martin,Dúbravka,Dúbravka,Burnley,GKP,40,21.0,a,,44,900,0,0,5,0.0,220.2,0.0,22.0
676,Lesley,Ugochukwu,Ugochukwu,Burnley,MID,50,0.0,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
66,Norberto,Murara Neto,Neto,Bournemouth,GKP,45,1.1,a,,7,180,0,0,0,0.0,77.8,0.0,7.8
67,Đorđe,Petrović,Petrović,Bournemouth,GKP,45,4.0,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
68,Will,Dennis,Dennis,Bournemouth,GKP,40,0.7,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
69,Callan,McKenna,McKenna,Bournemouth,GKP,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
70,Alex,Paulsen,Paulsen,Bournemouth,GKP,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
71,Illia,Zabarnyi,Zabarnyi,Bournemouth,DEF,50,0.5,a,,94,3109,0,1,8,177.0,651.4,88.0,92.0
72,Marcos,Senesi Barón,Senesi,Bournemouth,DEF,45,0.7,a,,31,1103,0,0,2,84.2,271.6,39.0,39.6
73,Adam,Smith,Smith,Bournemouth,DEF,45,0.2,a,,57,1586,0,0,6,147.2,181.8,24.0,35.0
74,Adrien,Truffert,Truffert,Bournemouth,DEF,45,1.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
75,Matai,Akinmboni,Akinmboni,Bournemouth,DEF,40,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
76,Owen,Bevan,Bevan,Bournemouth,DEF,40,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
77,James,Hill,Hill,Bournemouth,DEF,40,0.7,a,,17,443,0,1,1,38.4,97.0,29.0,16.6
78,Julián,Araujo Zúñiga,J.Araujo,Bournemouth,DEF,40,1.3,a,,12,492,0,0,0,30.6,56.8,4.0,9.2
79,Chris,Mepham,Mepham,Bournemouth,DEF,40,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
80,Julio,Soler Barreto,Soler,Bournemouth,DEF,40,0.3,a,,3,9,0,0,0,1.8,2.2,0.0,0.4
81,Justin,Kluivert,Kluivert,Bournemouth,MID,70,4.8,a,,158,2339,12,6,13,654.1,700.0,771.0,212.0
82,Antoine,Semenyo,Semenyo,Bournemouth,MID,70,5.1,a,,165,3202,11,7,11,688.9,792.2,1204.0,267.8
83,Dango,Ouattara,O.Dango,Bournemouth,MID,60,0.2,a,,111,1998,7,4,7,496.8,624.6,754.0,187.2
84,Marcus,Tavernier,Tavernier,Bournemouth,MID,55,0.4,a,,87,1932,3,7,4,664.8,447.0,442.0,155.4
85,Tyler,Adams,Adams,Bournemouth,MID,50,0.2,a,,58,1959,0,3,6,261.2,411.8,83.0,75.9
86,David,Brooks,Brooks,Bournemouth,MID,50,0.1,a,,52,941,2,1,3,316.7,193.6,300.0,80.4
87,Ryan,Christie,Christie,Bournemouth,MID,50,0.5,a,,76,2114,2,3,8,576.8,514.0,303.0,139.6
88,Lewis,Cook,Cook,Bournemouth,MID,50,0.0,s,0.0,82,2976,1,4,5,727.1,607.0,114.0,144.9
89,Philip,Billing,Philip,Bournemouth,MID,50,0.1,a,,10,176,0,0,0,102.4,54.0,47.0,20.4
90,Alex,Scott,Scott,Bournemouth,MID,50,0.1,a,,26,745,0,0,3,171.6,141.6,118.0,43.2
91,Luis,Sinisterra Lucumí,Sinisterra,Bournemouth,MID,50,0.2,a,,23,229,1,1,0,115.3,112.0,195.0,42.3
92,Romain,Faivre,Faivre,Bournemouth,MID,45,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
93,Hamed,Traorè,H.Traorè,Bournemouth,MID,45,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
94,Dominic,Sadi,Sadi,Bournemouth,MID,45,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
95,Zain,Silcott-Duberry,Silcott-Duberry,Bournemouth,MID,45,0.2,a,,1,1,0,0,0,1.0,2.0,0.0,0.3
96,Ben,Winterburn,Winterburn,Bournemouth,MID,45,0.1,a,,4,22,0,0,0,0.2,2.4,2.0,0.4
97,Francisco Evanilson,de Lima Barbosa,Evanilson,Bournemouth,FWD,70,2.6,a,,128,2317,10,5,11,331.9,456.0,966.0,174.8
98,Enes,Ünal,Enes Ünal,Bournemouth,FWD,55,0.0,i,0.0,32,330,2,1,2,56.1,104.0,207.0,35.9
99,Daniel,Adu-Adjei,Adu-Adjei,Bournemouth,FWD,45,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
100,Eli Junior,Kroupi,Kroupi.Jr,Bournemouth,FWD,45,1.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
101,Caoimhín,Kelleher,Kelleher,Brentford,GKP,45,30.9,a,,45,900,0,0,4,0.0,224.2,0.0,22.4
102,Ellery,Balcombe,Balcombe,Brentford,GKP,40,0.3,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
103,Matthew,Cox,Cox,Brentford,GKP,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
104,Julian,Eyestone,Eyestone,Brentford,GKP,40,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
105,Hákon Rafn,Valdimarsson,Valdimarsson,Brentford,GKP,40,1.6,a,,2,144,0,0,0,0.1,21.4,0.0,2.1
106,Nathan,Collins,Collins,Brentford,DEF,50,1.7,a,,127,3420,2,7,8,160.5,1023.2,311.0,149.6
107,Keane,Lewis-Potter,Lewis-Potter,Brentford,DEF,50,0.5,a,,94,3092,1,5,8,462.2,542.0,391.0,139.9
108,Kristoffer,Ajer,Ajer,Brentford,DEF,45,0.2,a,,39,1433,0,0,3,128.1,199.0,158.0,48.5
109,Rico,Henry,Henry,Brentford,DEF,45,0.2,a,,4,94,0,0,0,2.1,13.6,2.0,1.7
110,Michael,Kayode,Kayode,Brentford,DEF,45,0.3,a,,27,523,0,1,2,105.2,105.2,30.0,24.2
111,Ethan,Pinnock,Pinnock,Brentford,DEF,45,0.3,a,,47,1912,2,0,2,101.2,540.2,193.0,83.6
112,Mads,Roerslev Rasmussen,Roerslev,Brentford,DEF,45,0.1,a,,36,1100,0,2,2,185.8,214.4,78.0,48.0
113,Sepp,van den Berg,Van den Berg,Brentford,DEF,45,0.4,a,,62,2584,0,1,5,108.3,587.4,226.0,92.3
114,Benjamin,Arthur,Arthur,Brentford,DEF,40,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
115,Benjamin,Fredrick,Fredrick,Brentford,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
116,Aaron,Hickey,Hickey,Brentford,DEF,40,0.7,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
117,Kim,Ji-soo,Ji-soo,Brentford,DEF,40,0.2,a,,3,28,0,0,0,0.8,5.0,0.0,0.6
118,Jayden,Meghoma,Meghoma,Brentford,DEF,40,0.2,a,,1,4,0,0,0,0.3,0.2,0.0,0.1
120,Kevin,Schade,Schade,Brentford,MID,70,1.9,a,,149,2281,11,4,10,312.7,630.8,892.0,183.3
121,Mikkel,Damsgaard,Damsgaard,Brentford,MID,60,1.2,a,,131,2911,2,10,11,1006.4,714.8,338.0,205.9
122,Antoni,Milambo,Milambo,Brentford,MID,55,0.1,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
123,Fábio,Freitas Gouveia Carvalho,Carvalho,Brentford,MID,50,0.3,a,,35,443,2,1,0,71.5,142.2,154.0,36.3
124,Jordan,Henderson,Henderson,Brentford,MID,50,0.4,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
125,Vitaly,Janelt,Janelt,Brentford,MID,50,0.2,a,,73,2251,1,3,6,284.2,356.6,131.0,77.2
126,Mathias,Jensen,Jensen,Brentford,MID,50,0.1,a,,38,846,0,2,2,249.5,157.0,32.0,43.8
127,Gustavo,Nunes Fernandes Gomes,Nunes,Brentford,MID,50,0.1,a,,3,11,0,0,0,0.3,10.0,2.0,1.2
